plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
101,1,0+60,3,0,60
102,1,200+0,7,200,0
103,1,0+0,1,0,0
104,1,200+60,9,200,60
105,1,100+30,5,100,30
106,1,200+30,8,200,30
107,1,100+0,4,100,0
108,1,0+30,2,0,30
109,1,100+60,6,100,60
201,2,0+0,1,0,0
202,2,200+60,9,200,60
203,2,100+0,4,100,0
204,2,100+60,6,100,60
205,2,0+60,3,0,60
206,2,200+30,8,200,30
207,2,100+30,5,100,30
208,2,200+0,7,200,0
209,2,0+30,2,0,30
301,3,100+0,4,100,0
302,3,100+30,5,100,30
303,3,200+30,8,200,30
304,3,0+0,1,0,0
305,3,200+60,9,200,60
306,3,100+60,6,100,60
307,3,0+30,2,0,30
308,3,200+0,7,200,0
309,3,0+60,3,0,60
401,4,200+60,9,200,60
402,4,0+30,2,0,30
403,4,0+60,3,0,60
404,4,0+0,1,0,0
405,4,100+60,6,100,60
406,4,100+0,4,100,0
407,4,100+30,5,100,30
408,4,200+30,8,200,30
409,4,200+0,7,200,0
